# Foto de los ASUNTOS de Jira del proyecto SCRUM — NO se edita a mano.
#
# Para que sirve: el enlace ticket<->rama vive implicito en el nombre de la rama, el mensaje
# del commit y el fichero de docs/master/. Los tres son del REPO. El asunto del TICKET vive solo
# en Jira, y sin el no se puede saber si los tres hablan de lo mismo — que es el caso SCRUM-706.
#
# Tomada el 2026-09-07 con el MCP de Atlassian sobre cloudId 30938fdf-…
# 🔴 TRAMPA MEDIDA AL TOMARLA: la JQL de RANGO («key >= SCRUM-816 AND key <= SCRUM-915») devolvio
#    CERO con SCRUM-816/817/818 existiendo. La misma consulta como «key in (...)» los devuelve los
#    tres. Un rango que miente no da error: da un cero creible. Por eso el instrumento compara su
#    cobertura contra los numeros que encuentra en el repo y DECLARA los que no tiene.
#
# clave	estado	asunto
SCRUM-198	Finalizada	🔴 VERIFACTU/QA · El XML emitido NO se valida contra el XSD en ninguna comprobación automática: la única red son asserts de cadena a mano, y ya ha dejado pasar un token muerto
SCRUM-199	Finalizada	QA/RUNNER · «Qué ficheros son especiales» vive en TRES copias a mano (AISLADOS ×2 + CLAVES_HIJOS): añadir un hijo obliga a mover las tres y olvidar una falla en silencio
SCRUM-200	Finalizada	RECON · Superficie de emisión de facturas: cuántos caminos existen, qué valida cada uno y dónde viven las reglas fiscales — precondición para poder IMPEDIR (decisión de producto 29-jul)
SCRUM-201	Finalizada	SEMAFORO-1 · Calibrar la lista ROJO/ÁMBAR contra el doc oficial "Validaciones y errores" de la AEAT — el rojo no se decide a ojo
SCRUM-202	Finalizada	SKILL-CEREBRO · Skill .claude/skills/cerebro-yaqu para sesiones: arranque, disparadores anti-error R1-R7 y checklists de PR/STOP — el vocabulario estaba, faltaba el disparador
SCRUM-203	Finalizada	EMBUDO-1 · Test que falla si CUALQUIER creación de factura no pasa por allocateInvoiceNumber() — convierte "los 7 sin excepción" en mecanismo, no en afirmación
SCRUM-204	Finalizada	EMBUDO-1b · seed-demo.mjs fabrica números de factura a mano y descuadra la serie del merchant de demo — la única fuga real que destapó SCRUM-203
SCRUM-205	Finalizada	SELLADO-1 · El sellado debe ocurrir al EMITIR, no perezosamente al generar el PDF — hoy el punto de no retorno lo dispara el cliente final
SCRUM-206	Finalizada	FAILOPEN-1 · El catch del sellado en lib/invoicing.ts:58 y :152 deja salir la factura sin huella con una línea de log — la palabra «se omite» está en el código
SCRUM-207	Finalizada	AUDIT-FISCAL-1 · AuditLog no registra NINGUNA acción fiscal — sin esto, el ámbar del semáforo vale cero como escudo legal
SCRUM-208	Finalizada	🔴 seed-demo.mjs es un script de RESET y su BD por defecto es PRODUCCIÓN — sin host-check, a diferencia de seed-video.mjs
SCRUM-209	Finalizada	🔴 El XML de registros que emite el servicio NO valida contra el XSD de la AEAT — y el .ps1 que sí valida está validando un constructor que no usa nadie
SCRUM-210	Finalizada	SEMAFORO-FRONT-1 · Lo que ve el fontanero: rojo deshabilitado con explicación, ámbar con aceptación trazable, verde en silencio
SCRUM-211	Finalizada	CALIBRACION-CHECK · ¿Cuántos ROJOS de SEMAFORO_CALIBRACION.md los incumple YA nuestro propio emisor? El 209 estaba escrito en el doc y seguía vivo en el código
SCRUM-212	Finalizada	EXENTAS-1 · Falta la calificación de la operación —exenta (OperacionExenta E1..E6), no sujeta (N1/N2) e ISP (S2)—: un tramo al 0 % excluye la factura entera del registro
SCRUM-213	Finalizada	SEMAFORO-FRONT-2 · Matriz de dispositivos AB6 del semáforo: solo se midió a 390 px, y el breakpoint está en 480
SCRUM-214	Finalizada	GUARD-SEMAFORO · Test que falla si alguien cablea el semáforo del front antes de que exista el catálogo de avisos (SCRUM-207)
SCRUM-215	Finalizada	🔴 DESTINATARIOS-1 · Cada factura a un particular es un rechazo AEAT (1189): emitimos F1 sin Destinatarios cuando el cliente no tiene NIF — y en oficios eso es lo NORMAL
SCRUM-216	Finalizada	🔴 RECTIFICATIVA-1 · Toda R1 sale sin TipoRectificativa (1114): el servicio no lo emite nunca y solo existe en un comentario y en el builder que no usa nadie
SCRUM-217	Finalizada	FAILOPEN-2 · Los cuatro rojos que hoy nadie dispara pero que están a un dato de distancia: año sin cota, IVA al 15%, prefijo de serie sin charset, ID de sistema vacío
SCRUM-218	Finalizada	FLAG-FISCAL-1 · Encender INVOICING_ES_ENABLED es la acción más grave del producto y hoy es un UPDATE a mano en la BD: sin superficie, sin registro, sin poder probar cuándo empezó a emitir un merchant
SCRUM-219	Finalizada	TX-TIPADO-1 · El tipo NO garantiza que haya transacción: PrismaClient es asignable a TransactionClient, así que pasar el cliente global compila limpio en TODA función que reciba un tx
SCRUM-220	Finalizada	🔴 PRODUCCIÓN ROTA · Dos fallos independientes: la home da 500 por Quote.jobId sin aplicar en prod, y la vista de Facturas está muerta por doble declaración de copyRojo
SCRUM-221	Finalizada	AUDIT-FISCAL-A9 · exportacion_fiscal sin registrar: quién pidió el pack de inspección y para quién no queda en ninguna parte
SCRUM-222	Finalizada	🔴 DERIVA-PROD-1 · Nada impide desplegar código que exige un schema que producción no tiene — hoy eso ha tirado la home, y el aviso llegó como un 500 en la cara del usuario
SCRUM-223	Finalizada	🔴 WRAPPER-PROD-1 · db-push-prod imprime su cabecera y muere en silencio: el guard de la operación más peligrosa del sistema hace un no-op que se lee como "no hay nada que aplicar"
SCRUM-224	Finalizada	🔴 DESPLIEGUE · Un hotfix desplegado NO llega al usuario: el service worker sigue sirviendo el JS viejo y hay que limpiarlo a mano (tercera vez, tras SCRUM-45 y 46)
SCRUM-225	Finalizada	MIGRATIONS_PENDING.md es una lista a mano del estado de las TRES BD y nada la ata a la realidad: hoy decía PENDIENTE en dev cuando ya estaba aplicado, y su otra dirección de error es un 500 en producción
SCRUM-226	Finalizada	🔴 DBURL-GUARD-1 · Un mismo defecto ha filtrado credenciales dos veces y matado el wrapper de prod: parsear DATABASE_URL a mano. La regla existe, está en la skill, y no la para nada
SCRUM-227	Finalizada	RESEÑAS-1 / WA-RASTRO-1 · CINCO de las ocho vías de envío de WhatsApp no registran WhatsAppMessage — la reseña es una de ellas
SCRUM-228	Finalizada	INFORMES-EMPLEADO-1 · Desglose por empleado en Informes: el dato YA se agrega, falta la UI — pero Charge no tiene teamMemberId y las sumas no cuadrarán con el total
SCRUM-229	Finalizada	PRESU-MARGEN-PIE-1 · Ver margen e IVA del presupuesto SIN abrir cada línea: agregados en el pie de totales (24 px fijos) — descartadas las columnas por fila, medidas en 77 px/fila a 390 px
SCRUM-230	Finalizada	QR-PAGINA-1 · El QR de la página pública no es personalizable en nada y el pro no lo ve antes de descargarlo — riesgo contenido: NO comparte código con el QR fiscal
SCRUM-231	Finalizada	🔒 CACHE-EDGE-1 · Los JS del dashboard se sirven con max-age=14400 y NO sale del repo: hay que averiguar quién pone esa cabecera (sospecha: Browser Cache TTL de Cloudflare)
SCRUM-232	Finalizada	TURNO-2 · El lock de staging dice QUIÉN lo tiene pero no QUÉ está corriendo: quien espera no puede decidir si esperar, avisar o seguir
SCRUM-233	Finalizada	🔒 DBURL-GUARD-2 · El runbook de db push enseña en PROSA la forma insegura (--from-url) y el guard de SCRUM-226 no ve prosa — extenderlo a docs
SCRUM-234	Finalizada	🔴 NUMERACION-CARRERA-1 · Tenemos dos formas de reservar número de serie y la robusta está en el documento MENOS crítico: invoiceNumber hace read-then-write, quoteNumber usa increment atómico
SCRUM-235	Finalizada	🔴 CLIENTE-PRISMA-1 · El guard del cliente da falso verde por una premisa escrita que es falsa, y además no corre en la única tanda que toca la BD — hoy costó 27 minutos y 6 tests
SCRUM-236	Finalizada	La pantalla de Equipo descarta en silencio lo no atribuible: las partes no suman el total y nada lo dice
SCRUM-237	Finalizada	ASSERTS-MUERTOS-1 · Un doesNotMatch sobre un token que no puede aparecer NUNCA es un verde permanente que no comprueba nada — barrido + guard
SCRUM-238	Finalizada	🔴 BUILD-INVISIBLE-1 · Nada del repo genera el cliente Prisma y no está versionado: producción arranca hoy gracias a una auto-detección de la plataforma que ningún fichero declara
SCRUM-239	Finalizada	GUARD-RECIBO-BUCLE · El criterio commit === HEAD se invalida a sí mismo: anotar el resultado de la tanda en el máster es un commit posterior a la tanda
SCRUM-240	Finalizada	🔴 SOBRE-DUPLICADO · Hay DOS constructores del sobre RegFactuSistemaFacturacion y solo uno está demostrado conforme contra XSD
SCRUM-241	Finalizada	🔴🔴 BACKUP-ROTO-1 · El backup lógico pierde 4 tablas EN SILENCIO (lista a mano derivada + un nombre de tabla equivocado) y --restore-test está ciego a ese fallo
SCRUM-242	Acción del fundador	🔴 BACKUP-PROCESO-1 · No hay backup programado, no hay copia fuera de la infraestructura, no hay retención, y la restauración del dump lógico NO EXISTE (el RUNBOOK que promete el script no está escrito)
SCRUM-243	Finalizada	🔴 TENENCIA-LECTURA-1 · El aislamiento entre merchants en LECTURA es disciplina, no barrera: ningún guard obliga a filtrar por merchantId y no se ha descartado un IDOR ruta por ruta
SCRUM-244	Finalizada	RGPD-1 · El borrado de un merchant está bien hecho y guardado pero NO lo expone ninguna ruta; la portabilidad cubre 6 de 21 modelos; y borrar el merchant destruye su AuditLog fiscal
SCRUM-245	Finalizada	🔴 WA-RASTRO-2 · 21 llamadores del bot envían WhatsApp sin merchantId y no dejan rastro — pero registrarlos todos multiplicaría las escrituras en el camino de más tráfico del producto
SCRUM-246	Finalizada	🔴 SIN-LINEAS-NO-SELLABLE · Una factura fiscal sin líneas no se puede sellar NUNCA, y desde SCRUM-205 tampoco puede producir documento — trampa armada para el día que se encienda el flag
SCRUM-247	Finalizada	🔴 PRODUCTOR-CONSTANTES-1 · Las 5 variables del PRODUCTOR faltan en PRODUCCIÓN — pasarlas a constantes del repo: un cambio de NIF es un hecho fiscal, no configuración
SCRUM-248	Finalizada	🔴 DECLARABILIDAD-1 · El export fiscal EXCLUYE facturas selladas de verdad (con líneas y huella real): o el fixture no basta, o el export es más estricto que el sellado
SCRUM-249	Finalizada	TURNO-3 · Latido de liveness del turno de staging: SCRUM-232 dio el CONTEXTO (qué corre + fin estimado); falta saber si el dueño está VIVO
SCRUM-250	Finalizada	FLAKE-WA0B-1 · scrum115 cae cuando staging va lento: verifica un efecto fire-and-forget con un poll de 3 s, sin punto de sincronización
SCRUM-251	Finalizada	TENENCIA · GET /charges lee entre merchants: findMany sin `where` (mitigado por requireInternalSecret, pero es un global vivo)
SCRUM-252	Finalizada	GUARD-PRISMA-2 · El guard de cliente compara NOMBRES, no tipos: dos schemas con las mismas columnas y distinto tipo dan VERDE y el cliente revienta al deserializar
SCRUM-253	Finalizada	TURNO-4 · turno:tomar antes de lanzar la tanda BLOQUEA TU PROPIA TANDA: adquirirLock rechaza cualquier lock vivo sin comparar dueño
SCRUM-254	Finalizada	TENENCIA · GET /charges/:id devuelve CUALQUIER cobro de CUALQUIER merchant, con referencias bancarias — y su único consumidor es un link que solo existe fuera de producción
SCRUM-255	Finalizada	Migrar los 5 tests que sondean una escritura fire-and-forget al punto de sincronización de SCRUM-250
SCRUM-256	Finalizada	AUDIT-SYNC · recordAudit devuelve void: el helper de SCRUM-250 NO transfiere (a cero de los 11). Hace falta un interceptor de DELEGATE — y es la única forma de sostener la aserción NEGATIVA de scrum66:91
SCRUM-257	Finalizada	ALBARAN-DESDE-PRESUPUESTO · Crear albarán abre una pantalla prellenada con las líneas del presupuesto, sin precios — y no se puede crear un albarán sin presupuesto
SCRUM-258	Finalizada	TURNO-5 · La marca del turno se guarda por MÁQUINA (%TEMP%\yaqu-turno-staging.json): dos sesiones en el mismo equipo se pisan la nota y la primera queda soltando a mano
SCRUM-259	Finalizada	🔴 LISTADO-ROL-1 · tenancy-permisos:258 en rojo: el técnico NO ve SU PROPIO Trabajo en la lista — y la creación es síncrona, así que no es timing
SCRUM-260	Finalizada	🔴 LIMPIEZA-CIEGA-1 · clean-staging-tests borra TODOS los @test.local de staging sin consultar el turno de SCRUM-188 — y sin dejar rastro de qué borró
SCRUM-261	Finalizada	PII-REPO-1 · Un número de móvil real vive en el repo — y no en dos sitios, sino en SIETE ficheros, uno de ellos escribiéndolo en la BD
SCRUM-262	Finalizada	SEED-RANGO-1 · Sembrar los teléfonos en un rango que no pueda pertenecer a nadie: permite eximir el RANGO en vez de eximir el CAMINO
SCRUM-263	Finalizada	SIN-LINEAS-ROJO-POR-RUTA · nadie comprueba que emitir sin líneas devuelva 409 con su copy: el guard de SCRUM-246 es estructural, no de ruta
SCRUM-264	Finalizada	MICROCOPY-SIN-LINEAS · los dos copys de SCRUM-246 se declaran «[PENDIENTE microcopy oficial]» y ya se le enseñan al cliente final
SCRUM-265	Finalizada	🟠 TANDA-TIMEOUT · El hijo QA tarda ~28 min y su límite POR DEFECTO son 30: el margen es del 7% y una muerte por timeout cuesta el turno entero de una cola de 4 máquinas
SCRUM-266	Finalizada	🟠 TTL-DESATADO · `estado` y `tomar` hardcodean 45 min mientras el runner deriva su TTL: con GATED_CHILD_TIMEOUT_MS>35min una tanda VIVA se lee como RANCIA, e invita a reclamarla
SCRUM-267	Finalizada	MASTER-ANCLA · Una entrada del máster que afirma «hecho y en main» debe llevar el sha: hoy no se puede saber si envejeció, y ya ha costado dos rondas
SCRUM-268	Finalizada	TURNO-4 · el turno no sabe expresar una CESIÓN, así que un esperador automático convierte una cola acordada en una carrera — y gana el que programó el bucle
SCRUM-269	Finalizada	🔴 ROJO-127 · «requireActivePlan bloquea de verdad las 4 rutas gateadas» falla en la tanda del 2-ago — rojo NUEVO, ajeno a la rama, y fuera del grupo fiscal
SCRUM-270	Finalizada	🟠 EVIDENCIA-TIRADA · Nuestros tests OBTIENEN la evidencia que explicaría su propio rojo y la descartan: un assert que muere el primero deja las otras respuestas sin imprimir
SCRUM-271	Finalizada	🔴 COMA-DECIMAL-1 · «2,5» se convierte en 1 SIN AVISAR en el presupuesto rápido (homeView:912): el único punto que corrompe en silencio en vez de fallar
SCRUM-272	Finalizada	🟠 BARRIDO-SNAPSHOT · barridoDeHuerfanas decide qué borrar con una lista tomada UNA vez y luego borra durante 21 consultas: un merchant nacido a mitad se ve como huérfano
SCRUM-273	Tareas por hacer	🟠 MASTER-FICHERO-POR-TICKET · Siete ramas chocaron el mismo día en YAQU_MASTER.md: el conflicto no hay que resolverlo mejor, hay que hacerlo imposible
SCRUM-274	Finalizada	FINGERPRINT-ESTATICOS · Los 31 JS del dashboard no llevan hash de contenido, así que ninguna política de caché puede ser correcta: o se sirve viejo o se rebaja todo a cero
SCRUM-275	Finalizada	🔴 LOGIN-CODIGO-CRUDO · Quien teclea mal su correo en la página de acceso lee «invalid_email»: SCRUM-151 no está a medias ahí, está sin empezar por los dos lados
SCRUM-276	Tareas por hacer	BLOQUE A · Núcleo fiscal — facturación completa, del tipo de factura al Libro de Registro
SCRUM-277	Finalizada	BLOQUE B · Arquitectura de información — sidebar, patrón de detalle, formularios y separar Facturas de Cobros
SCRUM-278	Finalizada	BLOQUE C · Albaranes como objeto de primera clase — pestaña propia, página de detalle y orden dentro del Trabajo
SCRUM-279	Finalizada	BLOQUE D · Entrada y migración — importar desde Excel y continuar la numeración donde la dejaste
SCRUM-280	Tareas por hacer	BLOQUE E · Gestoría e integraciones — entregar al asesor lo que su programa entiende, por el canal que la ley permite
SCRUM-281	Tareas por hacer	BLOQUE F · Landing y posicionamiento — el gancho legal, la tabla comparativa y los gremios
SCRUM-282	Finalizada	BLOQUE G · Trabajos — ordenar nuestro diferencial y hacer visible el ciclo completo
SCRUM-283	Finalizada	B2 · La LEY del patrón de detalle, aplicada a FACTURA — de 8 botones apilados a 1 primaria + 2 secundarias + «⋮»
SCRUM-284	Finalizada	B1 · Barra lateral por ciclo de venta y Configuración troceada en nueve submenús
SCRUM-285	Finalizada	B4 · Separar Facturas de Cobros — un justificante bajo una ruta que dice «Factura» es un mensaje arriesgado
SCRUM-286	Finalizada	B3 · Formularios numerados por bloques — el de presupuesto pide la forma de pago antes de saber el cliente
SCRUM-287	Finalizada	A0.1 · MEDIR si una factura puede existir sin trabajo y sin presupuesto — informe, sin construir nada
SCRUM-288	Finalizada	A0.2 · MEDIR si una línea de albarán se puede casar con su línea de presupuesto — informe, sin construir nada
SCRUM-289	Finalizada	A0.3 · La FACTURA SUELTA — «Nueva factura» sin presupuesto, sin trabajo y sin albarán
SCRUM-290	Finalizada	A0.4 · ALBARÁN → FACTURA · cantidades del albarán, precios del presupuesto firmado — y lo añadido en obra dispara un presupuesto adicional
SCRUM-291	Finalizada	A4 · Series de numeración configurables — y detectar los huecos en vez de advertir en gris de que no los haya
SCRUM-292	Finalizada	A1 · Tipo de factura — tres visibles y doce plegadas, y PROPONER en vez de preguntar (aporta la CAPTURA de SCRUM-212; NO lo absorbe)
SCRUM-293	Finalizada	A2 · Retención IRPF y suplidos — configurada UNA vez en el perfil, no elegida en cada factura
SCRUM-294	Finalizada	A3 · Recargo de equivalencia en el cliente y criterio de caja — que en YaQu deja de ser una casilla y pasa a calcularse
SCRUM-295	Finalizada	A5 · Modelo 303 con las casillas mapeadas — y cruzado con los cobros reales, que ellos no pueden hacer
SCRUM-296	Finalizada	A6 · Libro de Registro — y que cada asiento enlace a su presupuesto firmado, su albarán y su cobro
SCRUM-297	Finalizada	A7 · Exportar evidencias de cumplimiento — su ZIP prueba lo que se declaró; el nuestro prueba además lo que pasó
SCRUM-298	Finalizada	A8 · El interruptor de VERI*FACTU — «se guarda» vs «se envía», visible, y el modal de dos caminos
SCRUM-299	Finalizada	🔴 LANDING-PROMETE-FACTURA · La web pública dice «Recibe la factura» y enseña «Factura #F-128», y hoy un merchant ES real entrega un justificante de cobro — el máster prohíbe ese copy con esas palabras
SCRUM-300	Finalizada	C5 · Los tres campos que faltan — y FIRMADO POR, que convierte nuestra firma en la más difícil de discutir
SCRUM-301	Finalizada	C1 · Albaranes como sección propia — para poder contestar «¿qué tengo sin firmar?» sin entrar obra por obra
SCRUM-302	Finalizada	C2 · Página de detalle del albarán — el patrón de B2 aplicado, con el rail de contexto y el presupuesto origen enlazado
SCRUM-303	Finalizada	C4 · Crear un albarán en UNA pantalla — que deje de crearse vacío para luego editarlo
SCRUM-304	Finalizada	C3 · Los albaranes dentro del Trabajo: tabla, no pila de tarjetas
SCRUM-305	Finalizada	C6 · «Quedan 3» — qué falta por entregar contra el presupuesto, que es certificación por partes sin construirla
SCRUM-306	Finalizada	C7 · Serie de numeración propia para albaranes — reutilizando el mecanismo de A4, no escribiendo un segundo
SCRUM-307	Tareas por hacer	BLOQUE H · Firmar sin cobertura — el albarán se firma en un sótano, y hoy necesita red
SCRUM-308	Finalizada	🔴 RECTIFICAR-ANULADA · Se puede emitir una rectificativa sobre una factura ANULADA: el back no comprueba el status y el front tampoco — la pregunta la dejó abierta SCRUM-153 y se cerró sin contestarla
SCRUM-309	Finalizada	G0 · MEDIR el Trabajo antes de diseñar sus tareas — seis preguntas, informe, cero construcción
SCRUM-310	Finalizada	D0 · MEDIR el alta y lo que ya existe de importación — seis preguntas, informe, cero construcción
SCRUM-311	Finalizada	🔴 GUARD-271-ENUMERA · El guard que vigila «no inventes cantidades» lee DOS ficheros escritos a mano — justo los dos que su ticket arregló. El patrón vive sin vigilancia en quotesView.js
SCRUM-312	Finalizada	D1 · Importador de clientes y productos — que proponga el mapeo, que entienda el CSV español y que diga lo que no pudo importar
SCRUM-313	Finalizada	D2 · «¿Por qué número vas?» — preguntar la continuidad de numeración en el alta, no esconderla en Configuración
SCRUM-314	Finalizada	D3 · Arreglar wipeDemo ANTES de ponerle botón — y sustituir los datos de ejemplo por el catálogo del gremio
SCRUM-315	Finalizada	D4 · Primeros pasos, hasta el dinero — el checklist no acaba en «presupuesto creado», acaba en «cobrado»
SCRUM-316	Finalizada	G1 · El detalle del Trabajo con el patrón B2 — y con los DOS EJES separados, trabajo y cobro
SCRUM-317	Finalizada	G2 · El Trabajo se llama por su nombre — hoy se titula «Presupuesto #2» y eso contradice la tesis del producto
SCRUM-318	Finalizada	G3 · DATOS sube al rail derecho — a quién llamo y adónde voy no puede estar debajo de la pila de albaranes
SCRUM-319	Finalizada	G4 · DOCUMENTOS se parte por tipo — hoy es «una pestaña gigantesca» con cuatro objetos distintos en una pila
SCRUM-320	Finalizada	G5 · «Qué falta para cobrar» — la pantalla dice CUÁNTO se ha cobrado y no dice QUÉ falta para cobrar el resto
SCRUM-321	Finalizada	E0 · Medir antes de diseñar el Bloque E — nueve preguntas, y dos de ellas deciden argumentos de venta que ya estamos usando
SCRUM-322	Tareas por hacer	E1 · El envío al asesor — alcanzarles, por el canal que la ley permite, y con el ciclo trimestral que ellos no tienen
SCRUM-323	Tareas por hacer	E2 · El fichero que su programa entiende — el problema no es el formato, es el plan contable
SCRUM-324	Finalizada	E3 · El gasto usable — y la corrección de una promesa legalmente incorrecta sobre la foto del ticket
SCRUM-325	Finalizada	E4 · Excel por periodo, formato de Libros Registro de la AEAT, y Drive — el suelo que cualquier despacho sabe leer
SCRUM-326	Tareas por hacer	E5 · Integración bancaria — la mitad del bloque que faltaba, y la única pieza que hace verdad «sabemos cuándo entró cada euro»
SCRUM-327	Finalizada	F0 · Medir la landing de verdad — abrir index.html, el embudo y el precio. Nadie ha abierto el fichero que declaramos fuente de verdad
SCRUM-328	En curso	F1 · La decisión de posicionamiento — no podemos vender facturación que el usuario no puede usar, y hay que enmendar el máster
SCRUM-329	Finalizada	F2 · Lo legal de la página pública — aviso legal, cookies, LSSI y RGPD. Hoy no tiene dueño en ningún bloque
SCRUM-330	Finalizada	F3 · 🔴 Precio, oferta y contador — «quedan 18 de 20 plazas» con cero clientes pagando, y un tachado que puede ser ficticio
SCRUM-331	Acción del fundador	F4 · Héroe, titular y prueba social HONESTA — con cero clientes, lo único prohibido es inventarse uno
SCRUM-332	Acción del fundador	F5 · La tabla comparativa contra «tu método actual» — y no es legalmente gratis, cada fila tiene que ser verdad HOY
SCRUM-333	Acción del fundador	F6 · Tarjetas por gremio — somos un producto de oficios y su octava parte se ve más dirigida que nuestra totalidad
SCRUM-334	Acción del fundador	F7 · Lo que pasa DESPUÉS del clic — CTA, WhatsApp y el que no está listo hoy. La mitad del bloque que faltaba
SCRUM-335	Tareas por hacer	F8 · «Da igual de dónde vengas» — la barrera de cambio hecha polvo. HUECO DECLARADO hasta que D1 y D2 estén en main
SCRUM-336	Finalizada	🔴 DEFECTO VIVO · La landing escribe localStorage de marketing sin consentimiento y sin banner — ePrivacy art. 5.3
SCRUM-337	Finalizada	🔴 El correo del día 12 dice «perderías el acceso a tu panel» y el código no quita el panel — claim más duro que el producto
SCRUM-338	Finalizada	🔴 Quien salta el wizard se queda sin oficio para siempre y no puede cargar el catálogo — callejón sin salida
SCRUM-339	Finalizada	🔴 El importador de productos tira filas en silencio, miente en el recuento y no es idempotente con nuestro propio export
SCRUM-340	Finalizada	🔴 DEFECTO VIVO · El contador «quedan 18 de 20 plazas» cuenta el campo plan, no pagos — prueba social falsa publicada
SCRUM-341	Finalizada	La landing dice «para siempre» y el documento vinculante dice «mientras mantengas la suscripción» — la condición solo está donde el visitante no la ve
SCRUM-342	Finalizada	invoice.quote as any apaga la null-safety justo en el sitio donde la factura suelta la va a necesitar
SCRUM-343	Finalizada	Los dos gastos.csv no tienen las mismas columnas (9 vs 8) y el comentario del código dice que sí
SCRUM-344	Finalizada	🔴 «Cerrar trabajo» es irreversible, mata la vía de cobro y se ofrece sin ninguna guarda de dinero
SCRUM-345	Finalizada	Dos descargas que nadie puede pedir y un rótulo que enlaza al fichero equivocado — decisión del fundador
SCRUM-346	Finalizada	A0.5 · El JUSTIFICANTE suelto — la reparación de 40 € de un merchant ES real, que hoy tampoco tiene puerta
SCRUM-347	Finalizada	La auditoría no distingue el ORIGEN de una factura: la suelta, la recapitulativa y el parcial de albarán se registran igual
SCRUM-348	Finalizada	🔴 El guard de tenencia de SCRUM-243 da por cubierta cualquier lectura dentro de un handler que mencione merchantId — y el agujero crece solo
SCRUM-349	Finalizada	El trinquete de SCRUM-299 escanea los COMENTARIOS de src/ como si fueran copy — y ya obliga a reformular explicaciones para esquivarlo
SCRUM-350	Finalizada	.modal-footer no envuelve: dos botones con texto largo se salen de la pantalla a 390 px
SCRUM-351	Finalizada	🔴 El repo afirma que los worktrees comparten node_modules por junction — medido, es falso, y sobre esa premisa está construida una restricción que aplicamos a diario
SCRUM-352	Finalizada	Tres pies de modal tienen target táctil de 36 px en vez de 44: escriben btn-primary sin la clase btn, que es la que sube en móvil
SCRUM-353	Finalizada	La excepción del guard de SCRUM-311 está anclada por número de línea: cualquier inserción encima la rompe
SCRUM-354	Finalizada	A9 · Facturas recurrentes sobre maintenancePlan — su casilla no sabe qué factura; la nuestra factura un CONTRATO
SCRUM-355	Finalizada	H0 · MEDIR antes de nada — quién firma, en qué aparato y con qué móvil. Una respuesta puede parar el bloque entero
SCRUM-356	Finalizada	H2 · Los tres significados de «guardado» — la tarea que da miedo, y el corazón del bloque
SCRUM-357	Finalizada	H1 · Bajar al sótano con lo que hace falta — precargar el albarán, y poder CREARLO sin red
SCRUM-358	Finalizada	H3 · La cola de sincronización — orden, reintentos e idempotencia con la clave DEFINIDA
SCRUM-359	Finalizada	H4 · Los dos relojes — la fecha de una firma sin red la pone un reloj que el usuario controla
SCRUM-360	Finalizada	H5 · 🔴 Almacenamiento — iOS BORRA el origen entero a los 7 días, y ahí se pierden firmas enteras
SCRUM-361	Finalizada	H6 · Conflictos — lo firmado NO se toca, ni siquiera para arreglarlo
SCRUM-362	Finalizada	H7 · Cómo se prueba «sin cobertura» de verdad — el toggle Offline de DevTools no vale
SCRUM-363	Finalizada	🔴 «Pagado» es inalcanzable si totalAceptado es null o 0 — un Trabajo cobrado se queda en «Parcial» para siempre
SCRUM-364	Finalizada	🔴 El catálogo vacío no lo arregla el importador: `trade` solo se escribe en el alta y `load-catalog` exige `trade_required` — callejón sin salida
SCRUM-365	Finalizada	🔴 Asimetría de permisos: /export lleva requireRole y /import y /load-catalog no — un Técnico puede reescribir el tarifario pero no exportarlo
SCRUM-366	Finalizada	🔴 La lista y el detalle del Trabajo no coinciden en la acción principal — «Marcar terminado» vs «Enviar para firmar» para el mismo trabajo
SCRUM-367	Finalizada	🔴 Atar cada línea de albarán a su línea de presupuesto (quoteLineIndex) — sin esto, C6 y media G5 no tienen dato y son lo único que nadie puede copiarnos
SCRUM-368	Finalizada	🔴 DESIGN.md y el CSS no coinciden: .btn-primary mide 36 px y da 3,3:1 de contraste — afecta a TODO el producto, no a una pantalla
SCRUM-369	Finalizada	🔴 El sello de la firma NO tiene verificador: nadie recalcula computeAlbaranContentHash — es evidencia guardada, no un invariante comprobado
SCRUM-370	Finalizada	🔴 «+ Añadir gasto» guarda un gasto que luego no se ve en ninguna parte de la ficha del Trabajo — medir si se ve en algún sitio del producto o si es un botón que se traga los datos
SCRUM-371	Finalizada	El verificador del sello existe y nadie lo dispara: barrido de población por versión — «¿cuántos albaranes firmados hay de cada versión y cuadran todos?»
SCRUM-372	Finalizada	🔴 El mismo dato viaja con dos nombres —estadoFacturacion y estadoCobro— y copiar el contexto de una vista a otra da `undefined`, que compara «true» contra todo
SCRUM-373	Finalizada	Ante el mismo fallo, Albaranes le da una salida al profesional y Facturas le da un diagnóstico — tres avisos de invoicesView.js sin alinear
SCRUM-374	Finalizada	🔴 Job.direccion no la escribe NADIE — y va sellada dentro de la evidencia de firma de todos los albaranes firmados
SCRUM-375	Finalizada	🔴 El marcado de facturas como pagadas dice que ha fallado cuando SÍ se ha guardado: el catch envuelve también al reload()
SCRUM-376	Finalizada	🔴 Nadie carga landing-demo.js: la doc la da por «publicada» y hay un test que asume que existe — un verde que no vigila nada
SCRUM-377	Finalizada	El «(s)» de programador en 11 sitios que ve el profesional — y la pantalla del Trabajo llama «parte» a lo que el resto del producto llama albarán
