# SCRUM-935 · perfil de una pasada completa del meta-guard
# mutaciones en el log: 307 · censo que declara el propio instrumento: 307
# fase de mutación: 561.3 s
#
# n	seg_desde_la_1a	fraccion_del_trabajo	veredicto	mutacion
182	349.0	0.6218	cae	scrum813-trinquete-de-zona.test.mjs · SUELO: la zona LLEGA al proceso hijo, y se comprueba antes de medir   (+4 test(s) más caídos)
183	349.7	0.6231	cae	scrum813-trinquete-de-zona.test.mjs · una CENSADA que deja de cambiar de veredicto pone el trinquete en ROJO   (+1 test(s) más caídos)
184	350.5	0.6244	cae	scrum813-trinquete-de-zona.test.mjs · SUELO: CERO dependientes teniendo censadas NO es un cero — es CIEGO
185	351.2	0.6258	cae	scrum813-trinquete-de-zona.test.mjs · SUELO: si el detalle por ruta NO ve nada pero la huella global cambió, sigue siendo CIEGO   (+1 test(s) más caídos)
186	352.0	0.6271	cae	scrum813-trinquete-de-zona.test.mjs · EL QUE DECIDE: un fichero de TEST tocado durante la medición sigue siendo CIEGO   (+1 test(s) más caídos)
187	352.7	0.6284	cae	scrum813-trinquete-de-zona.test.mjs · la marca REAL trae el detalle, y cuadra con lo que dice git
188	353.5	0.6297	cae	scrum813-trinquete-de-zona.test.mjs · EL QUE DECIDE: un fichero de TEST tocado a mano DURANTE la medición sigue siendo CIEGO   (+3 test(s) más caídos)
189	354.2	0.6310	cae	scrum813-trinquete-de-zona.test.mjs · con la lista VACÍA nada se ampara: cualquier ruta sigue cegando   (+2 test(s) más caídos)
190	354.9	0.6323	cae	scrum813-trinquete-de-zona.test.mjs · POSITIVO: la tanda escribiendo LO SUYO no ciega — el trinquete EMITE veredicto   (+1 test(s) más caídos)
191	355.9	0.6341	cae	scrum829b-la-ref-rancia-se-poda.test.mjs · traerRefs PODA la ref rancia, y sólo ésa
192	356.4	0.6350	cae	scrum829b-la-ref-rancia-se-poda.test.mjs · con la ref rancia DELANTE, quien agrupa y quien enumera dan el mismo número
193	357.7	0.6373	cae	scrum839c-la-pasada-se-ejecuta.test.mjs · 🔴 con atascados la pasada sale en 0: el vigía AVISA, no falla   (+6 test(s) más caídos)
194	358.4	0.6385	cae	scrum839c-la-pasada-se-ejecuta.test.mjs · 🔴 un atasco NUEVO deja aviso, y el aviso menciona a alguien   (+1 test(s) más caídos)
195	359.0	0.6397	cae	scrum839c-la-pasada-se-ejecuta.test.mjs · 🔴 pero SÍ falla cuando es ELLA la que no puede hacer su trabajo
196	361.0	0.6431	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 DECLARACIÓN: ninguna línea pone merge=union fuera de docs/master/*.md   (+1 test(s) más caídos)
197	361.9	0.6448	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 EFECTO: git no aplica union a ninguna ruta fuera de docs/master/*.md   (+1 test(s) más caídos)
198	362.9	0.6465	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 NEGATIVO: un solo fichero fuera de docs/master y no se empuja   (+4 test(s) más caídos)
199	363.8	0.6482	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 NEGATIVO: un subdirectorio de docs/master no es registro
200	364.8	0.6499	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 SUELO: salida 1 sin lista de ficheros es «no pude mirar», no conflicto
201	365.7	0.6515	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 POSITIVO: el #1318 fabricado — choque solo de registro → merge limpio y se empuja   (+1 test(s) más caídos)
202	368.7	0.6569	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 ROJO/NEGATIVO: el #880 fabricado — PR viejo SIN auto-merge y choque solo de registro → no se empuja   (+2 test(s) más caídos)
203	370.2	0.6596	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 SUELO: si no se puede leer si estaba armado, «no pude mirar» — nunca EMPUJAR   (+2 test(s) más caídos)
204	371.7	0.6622	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 CLI: lee el armado de la lista de PR que le pasa el workflow, con suelo
205	373.1	0.6648	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 POSITIVO del job: PR armado con choque solo de registro → se sigue resolviendo solo   (+1 test(s) más caídos)
206	374.7	0.6675	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 ROJO/NEGATIVO: un push de la App (Bot) a un PR existente NO arma el auto-merge   (+1 test(s) más caídos)
207	376.2	0.6703	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 SUELO: si no se sabe quién empujó, no se arma
208	377.8	0.6731	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 ROJO/NEGATIVO: un push de la App a una rama sin PR NO abre PR (p. ej. una rama recreada tras el merge)
209	379.3	0.6758	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 el YAML le pasa a los dos pasos QUIÉN empuja de verdad (`github.event.sender.type`)
210	381.5	0.6797	cae	scrum850-la-poblacion-del-instrumento.test.mjs · el detector ve cada forma que se come el código   (+1 test(s) más caídos)
211	383.4	0.6831	cae	scrum850-la-poblacion-del-instrumento.test.mjs · ninguna invocación de la tanda descarta su código de salida   (+1 test(s) más caídos)
212	384.5	0.6851	cae	scrum850-la-poblacion-del-instrumento.test.mjs · el último tramo y los comentarios NO se marcan
213	390.3	0.6953	cae	scrum850b-las-formas-que-mienten.test.mjs · el censo VE el `&` — era el hueco
214	391.0	0.6966	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · rojo SOLO en checks NO obligatorios → NO despierta
215	391.4	0.6973	cae	scrum853-avisador-solo-obligatorio.test.mjs · sin lista de obligatorios NO despierta, y lo DICE con su código
216	391.7	0.6979	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · el aviso salió 18 s DESPUÉS del merge   (+2 test(s) más caídos)
217	392.1	0.6986	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · claude.yml NO arranca sobre un PR ya mergeado   (+1 test(s) más caídos)
218	392.5	0.6992	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · PR mergeado cuando Claude termina y rama claude/pr-* nueva → RAMA-MUDA
219	392.8	0.6999	cae	scrum853-avisador-solo-obligatorio.test.mjs · claude.yml pregunta a la puerta ANTES de la acción
220	393.2	0.7005	cae	scrum853-avisador-solo-obligatorio.test.mjs · el aviso de rama muda se comprueba sobre el fichero que de verdad se va a publicar
221	393.6	0.7012	cae	scrum853-avisador-solo-obligatorio.test.mjs · un 404 que llega como CUERPO DEL ERROR no es una cabeza remota   (+1 test(s) más caídos)
222	393.9	0.7019	cae	scrum853-avisador-solo-obligatorio.test.mjs · lo que añade el 853 no se queda con la salida de un `gh api` que ha FALLADO
223	396.0	0.7054	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · PR · si no se puede leer a qué PR pertenece el rojo → PR-ILEGIBLE
224	397.0	0.7072	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · PERMISO · un 404 no llega a la puerta como «permiso»
225	398.0	0.7090	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · CHECK · si no se puede leer qué check cayó, la marca es
226	399.0	0.7108	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · FICHEROS · si no se puede leer qué toca el PR, la puerta fiscal ESCALA
227	400.0	0.7127	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · PREVIAS · si no se pueden leer los avisos previos, no se avisa
228	425.8	0.7586	cae	scrum853c-el-vigia-no-se-cree-un-error.test.mjs · FECHA · si no se puede leer cuándo se empujó, no se inventa un NaN
229	438.7	0.7816	cae	scrum853c-el-vigia-no-se-cree-un-error.test.mjs · NUM · si no se puede buscar el issue, la pasada PARA
230	451.6	0.8046	cae	scrum853c-el-vigia-no-se-cree-un-error.test.mjs · ANTES · una memoria que no se puede leer NO es una memoria vacía
231	452.7	0.8065	cae	scrum853d-cortacircuitos.test.mjs · el 7.º despertar de la ventana NO despierta   (+3 test(s) más caídos)
232	453.2	0.8074	cae	scrum853d-cortacircuitos.test.mjs · si la cuenta de despertares no se puede leer, NO se despierta   (+2 test(s) más caídos)
233	453.7	0.8083	cae	scrum853d-cortacircuitos.test.mjs · lo que ya salió de la ventana no cuenta
234	454.2	0.8093	cae	scrum853d-cortacircuitos.test.mjs · una ejecución SALTADA no es un despertar
235	471.7	0.8403	cae	scrum858b-la-tanda-sin-veredicto.test.mjs · NEGATIVO: una tanda con un test ROJO nunca sale 0 por el envoltorio   (+1 test(s) más caídos)
236	480.6	0.8562	cae	scrum858b-la-tanda-sin-veredicto.test.mjs · una tanda que sale con 0 SIN línea de recuento sale con 4
237	489.5	0.8722	cae	scrum858b-la-tanda-sin-veredicto.test.mjs · una tanda MUDA más que el tope sale con 3, y para SOLO su árbol
238	490.6	0.8740	cae	scrum858c-el-cierre-con-indice.test.mjs · la vía es la clave de MENOR posición, no la del primer identificador que casa   (+1 test(s) más caídos)
239	491.1	0.8749	cae	scrum858c-el-cierre-con-indice.test.mjs · una cadena dentro de un fichero se cierra en la MISMA vuelta   (+2 test(s) más caídos)
240	493.1	0.8784	cae	scrum859-identidad-y-motivo-cerrado.test.mjs · SCRUM-859 · 🔴 `INVISIBLE_HASTA_859` está cerrado en CINCO   (+1 test(s) más caídos)
241	494.1	0.8802	cae	scrum859-identidad-y-motivo-cerrado.test.mjs · SCRUM-859 · 🔴 insertar una entrada en medio NO mueve ninguna clave   (+7 test(s) más caídos)
242	495.7	0.8832	cae	scrum864c-el-temporal-no-vuelve.test.mjs · 🔴 ① CASO CONOCIDO: el censo distingue las cinco formas que le pongo delante, y no acusa a quien limpia   (+2 test(s) más caídos)
243	496.5	0.8847	cae	scrum864c-el-temporal-no-vuelve.test.mjs · 🔴 ①b EL BORRADO DE OTRO NO ES EL MÍO: un finally que borra otra variable no cubre mi temporal
244	499.0	0.8890	cae	scrum877-la-novena-a-pelo.test.mjs · SCRUM-877 · 🔴 EL BANCO: el criterio da las TRES respuestas, y son distintas
245	500.2	0.8912	cae	scrum877-la-novena-a-pelo.test.mjs · SCRUM-877 · ✅ ABSUELVE el contenido visible — la condición que evita que lo apaguen   (+1 test(s) más caídos)
246	501.0	0.8926	cae	scrum880-el-empate-del-sello.test.mjs · SCRUM-880c · 🔴 A · EL QUE DECIDE: con el empate, la cadena YA NO se bifurca
247	501.4	0.8933	cae	scrum880-el-empate-del-sello.test.mjs · SCRUM-880c · 🔴 B · el sello que se ESCRIBE conserva los milisegundos
248	502.2	0.8946	cae	scrum881-el-detector-sin-fecha.test.mjs · SCRUM-881 · 🔴 ROJO REAL: una F26… posterior al corte es PROPIA, no ajena   (+3 test(s) más caídos)
249	503.4	0.8968	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 ROJO: una copia ALTERADA se niega a actuar y no llama a claude
250	504.0	0.8980	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 ROJO: ejecutada desde un árbol de git, no actúa
251	504.6	0.8990	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 la lista blanca rechaza cualquier nombre que no sea del equipo   (+1 test(s) más caídos)
252	505.2	0.9001	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 reanudar va con el sessionId COMPLETO y SIN flags (con flags arranca una copia)
253	505.8	0.9012	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 una sesión nueva va en modo auto y NUNCA con un modo que se salte permisos
254	507.9	0.9048	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 ROJO: un orquestador-arranque ALTERADO no lanza nada   (+1 test(s) más caídos)
255	508.8	0.9065	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 ROJO: con sesion.mjs ALTERADO, la tanda no lanza nada
256	509.8	0.9082	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 arranque.cmd copia desde origin/main los scripts y el prompt, y lanza el arranque
257	510.7	0.9099	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 arranque.cmd copia desde origin/main los scripts y el prompt, y lanza el arranque
258	511.4	0.9111	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 el contexto es el del ÚLTIMO turno, no el máximo histórico
259	511.7	0.9117	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 el contexto NO incluye output_tokens: es lo que se manda, no lo que contesta
260	512.1	0.9123	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 SUELO: sin turnos legibles el contexto es null, NUNCA 0
261	512.4	0.9129	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 el jsonl se busca en TODAS las carpetas de proyecto, no solo en la del repo   (+1 test(s) más caídos)
262	512.7	0.9135	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 no se para una sesión que está TRABAJANDO, aunque el traspaso esté fresco
263	513.1	0.9141	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 no se para una sesión cuyo traspaso no se ha reescrito
264	514.1	0.9159	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 NO_PUDE_MIRAR · vieja (11 min > 10)   (+1 test(s) más caídos)
265	514.6	0.9169	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 un REPINTADO sin llamada a la API no rejuvenece el dato
266	515.0	0.9176	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 NO_PUDE_MIRAR · no existe   (+1 test(s) más caídos)
267	515.6	0.9185	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 NO_PUDE_MIRAR · ventana ya reiniciada
268	516.4	0.9200	cae	scrum900-push-de-claude-con-la-app.test.mjs · 🔴 ROJO/POSITIVO: el push de Claude autentica con la llave de la App, no con el GITHUB_TOKEN del checkout
269	517.4	0.9218	cae	scrum908-la-muda-se-explica.test.mjs · SCRUM-908 · 🔴 EL QUE DECIDE: las tres situaciones NO dan la misma respuesta   (+2 test(s) más caídos)
270	519.0	0.9246	cae	scrum928b-el-veredicto-que-el-color-tapa.test.mjs · 🔴 EL CONTROL QUE DECIDE: una tanda sana cuyo recuento viene con color sale con 0   (+1 test(s) más caídos)
271	519.7	0.9259	cae	scrum928b-el-veredicto-que-el-color-tapa.test.mjs · ✅ POSITIVO: sin color el envoltorio sigue dando exactamente el mismo veredicto que antes   (+2 test(s) más caídos)
272	520.8	0.9278	cae	scrum938-la-lista-como-fixture.test.mjs · el consumidor se resuelve por IMPORT, no por mencionar el nombre
273	521.3	0.9288	cae	scrum938-la-lista-como-fixture.test.mjs · un MOTIVO en prosa no es un elemento de la lista
274	522.1	0.9302	cae	scrum939b-trinquete-de-las-skills.test.mjs · EL QUE DECIDE
275	522.5	0.9309	cae	scrum939b-trinquete-de-las-skills.test.mjs · SUELO en la copia
276	522.9	0.9315	cae	scrum939b-trinquete-de-las-skills.test.mjs · los tres controles   (+2 test(s) más caídos)
277	523.2	0.9322	cae	scrum939b-trinquete-de-las-skills.test.mjs · los tres controles   (+2 test(s) más caídos)
278	523.6	0.9329	cae	scrum939b-trinquete-de-las-skills.test.mjs · los tres controles   (+1 test(s) más caídos)
279	526.2	0.9375	cae	scrum949-el-suelo-como-cociente.test.mjs · el cociente cruza CONJUNTOS: perder uno y ganar otro no cuadra   (+3 test(s) más caídos)
280	527.5	0.9399	cae	scrum949-el-suelo-como-cociente.test.mjs · cero sobre cero es CERO: dos sondas vacías no están de acuerdo, no han mirado
281	528.8	0.9422	cae	scrum949-el-suelo-como-cociente.test.mjs · ✅ NEGATIVO · un borrado legítimo pequeño NO dispara   (+1 test(s) más caídos)
282	530.1	0.9444	cae	scrum949-el-suelo-como-cociente.test.mjs · ✅ NEGATIVO · ningún cambio honesto separa las dos sondas   (+1 test(s) más caídos)
283	531.2	0.9464	cae	scrum949-el-suelo-como-cociente.test.mjs · 🔴 EL QUE DECIDE · crecer mueve el umbral solo, y la ceguera realista sigue saltando
284	532.5	0.9487	cae	scrum949-el-suelo-como-cociente.test.mjs · 🔴 ROJO · un recorrido ciego salta y NOMBRA lo que no ve   (+2 test(s) más caídos)
285	536.7	0.9561	cae	scrum951a-equipo-configurable.test.mjs · 🔴 A2 · sin `traspasos` en config.json, sesion.mjs dice NO-PUDE-MIRAR
286	538.3	0.9591	cae	scrum951a-equipo-configurable.test.mjs · 🔴 A2 · el instalador graba en config.json la carpeta de los traspasos   (+2 test(s) más caídos)
287	540.4	0.9627	cae	scrum951a-equipo-configurable.test.mjs · 🔴 el instalador se NIEGA si la carpeta de los traspasos no existe
288	542.3	0.9662	cae	scrum951a-equipo-configurable.test.mjs · 🔴 el prefijo se DECLARA
289	544.1	0.9694	cae	scrum951a-equipo-configurable.test.mjs · 🔴 una config de equipo inválida no actúa
290	546.1	0.9730	cae	scrum951a-equipo-configurable.test.mjs · 🔴 con prefijo, `estado` solo lista las sesiones de SU equipo
291	548.0	0.9763	cae	scrum951a-equipo-configurable.test.mjs · 🔴 con prefijo, `lanzar` rechaza un nombre del OTRO equipo   (+1 test(s) más caídos)
292	550.0	0.9798	cae	scrum951a-equipo-configurable.test.mjs · 🔴 la tanda lanza al orquestador DEL CONFIG, con su prefijo
293	552.0	0.9834	cae	scrum951a-equipo-configurable.test.mjs · 🔴 rutaDelTraspaso: sesion-N → project_sN, cualquier otro puesto → project_<puesto>
294	554.0	0.9870	cae	scrum951a-equipo-configurable.test.mjs · veredicto global: NO-PUDE-MIRAR gana a FALLA   (+1 test(s) más caídos)
295	556.1	0.9908	cae	scrum951a-equipo-configurable.test.mjs · 🔴 ROJO: con la copia instalada de sesion.mjs TOCADA, la lista da FALLA
296	556.8	0.9920	cae	scrum951d-ensayo-instalacion.test.mjs · 🔴 ROJO: un servidor de .mcp.json sin decidir da FALLA   (+1 test(s) más caídos)
297	557.1	0.9926	cae	scrum951d-ensayo-instalacion.test.mjs · enableAllProjectMcpServers en los settings del usuario lo decide todo
298	557.5	0.9932	cae	scrum951d-ensayo-instalacion.test.mjs · la decisión guardada en la entrada del proyecto de ~/.claude.json cuenta
299	557.8	0.9938	cae	scrum951d-ensayo-instalacion.test.mjs · unos settings con BOM (como los de origin/main) se leen   (+4 test(s) más caídos)
300	558.1	0.9944	cae	scrum951d-ensayo-instalacion.test.mjs · 🔴 ROJO: un VERDE leído del uso.json de OTRA carpeta es AVISO, no OK
301	558.5	0.9950	cae	scrum951d-ensayo-instalacion.test.mjs · el uso.json de ESTA instalación sigue siendo OK (en Windows, sin mirar la caja ni las barras)
302	559.2	0.9962	cae	utils.test.mjs · esc: escapa HTML peligroso y tolera null/number
303	559.9	0.9975	cae	vigia-atascados.test.mjs · SIN-CHECKS es una causa PROPIA, no «esperando»   (+3 test(s) más caídos)
304	560.2	0.9981	cae	vigia-atascados.test.mjs · 🔴 CEBO REAL #1205 · su obligatorio en FAILURE desde el 8-sep → ROJO-OBLIGATORIO, no ESPERANDO   (+4 test(s) más caídos)
305	560.6	0.9987	cae	vigia-atascados.test.mjs · 🔴 CEBO REAL #1212 · con la memoria REAL del issue #1241 vuelve a avisar por edad   (+4 test(s) más caídos)
306	560.9	0.9994	cae	vigia-atascados.test.mjs · 🔴 `gh pr list` devuelve al bot como `app/yaqu-bot`: tiene que contar como el bot
307	561.3	1.0000	cae	vigia-atascados.test.mjs · 🔴 CONTROL NEGATIVO REAL #1259 · recién empujado CON checks corriendo: ESPERANDO, y NO avisa
