# SCRUM-935 · perfil de una pasada completa del meta-guard
# mutaciones en el log: 307 · censo que declara el propio instrumento: 307
# fase de mutación: 576.7 s
#
# n	seg_desde_la_1a	fraccion_del_trabajo	veredicto	mutacion
182	346.2	0.6003	cae	scrum813-trinquete-de-zona.test.mjs · SUELO: la zona LLEGA al proceso hijo, y se comprueba antes de medir   (+4 test(s) más caídos)
183	346.9	0.6015	cae	scrum813-trinquete-de-zona.test.mjs · una CENSADA que deja de cambiar de veredicto pone el trinquete en ROJO   (+1 test(s) más caídos)
184	347.6	0.6027	cae	scrum813-trinquete-de-zona.test.mjs · SUELO: CERO dependientes teniendo censadas NO es un cero — es CIEGO
185	348.3	0.6039	cae	scrum813-trinquete-de-zona.test.mjs · SUELO: si el detalle por ruta NO ve nada pero la huella global cambió, sigue siendo CIEGO   (+1 test(s) más caídos)
186	349.0	0.6051	cae	scrum813-trinquete-de-zona.test.mjs · EL QUE DECIDE: un fichero de TEST tocado durante la medición sigue siendo CIEGO   (+1 test(s) más caídos)
187	349.7	0.6064	cae	scrum813-trinquete-de-zona.test.mjs · la marca REAL trae el detalle, y cuadra con lo que dice git
188	350.4	0.6076	cae	scrum813-trinquete-de-zona.test.mjs · EL QUE DECIDE: un fichero de TEST tocado a mano DURANTE la medición sigue siendo CIEGO   (+3 test(s) más caídos)
189	351.1	0.6088	cae	scrum813-trinquete-de-zona.test.mjs · con la lista VACÍA nada se ampara: cualquier ruta sigue cegando   (+2 test(s) más caídos)
190	351.8	0.6100	cae	scrum813-trinquete-de-zona.test.mjs · POSITIVO: la tanda escribiendo LO SUYO no ciega — el trinquete EMITE veredicto   (+1 test(s) más caídos)
191	352.9	0.6119	cae	scrum829b-la-ref-rancia-se-poda.test.mjs · traerRefs PODA la ref rancia, y sólo ésa
192	353.5	0.6129	cae	scrum829b-la-ref-rancia-se-poda.test.mjs · con la ref rancia DELANTE, quien agrupa y quien enumera dan el mismo número
193	354.7	0.6151	cae	scrum839c-la-pasada-se-ejecuta.test.mjs · 🔴 con atascados la pasada sale en 0: el vigía AVISA, no falla   (+6 test(s) más caídos)
194	355.4	0.6162	cae	scrum839c-la-pasada-se-ejecuta.test.mjs · 🔴 un atasco NUEVO deja aviso, y el aviso menciona a alguien   (+1 test(s) más caídos)
195	356.0	0.6174	cae	scrum839c-la-pasada-se-ejecuta.test.mjs · 🔴 pero SÍ falla cuando es ELLA la que no puede hacer su trabajo
196	359.9	0.6241	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 DECLARACIÓN: ninguna línea pone merge=union fuera de docs/master/*.md   (+1 test(s) más caídos)
197	361.7	0.6272	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 EFECTO: git no aplica union a ninguna ruta fuera de docs/master/*.md   (+1 test(s) más caídos)
198	363.7	0.6306	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 NEGATIVO: un solo fichero fuera de docs/master y no se empuja   (+4 test(s) más caídos)
199	364.8	0.6326	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 NEGATIVO: un subdirectorio de docs/master no es registro
200	365.9	0.6345	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 SUELO: salida 1 sin lista de ficheros es «no pude mirar», no conflicto
201	367.0	0.6364	cae	scrum839d-union-solo-en-el-registro.test.mjs · 🔴 POSITIVO: el #1318 fabricado — choque solo de registro → merge limpio y se empuja   (+1 test(s) más caídos)
202	371.3	0.6439	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 ROJO/NEGATIVO: el #880 fabricado — PR viejo SIN auto-merge y choque solo de registro → no se empuja   (+2 test(s) más caídos)
203	373.5	0.6477	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 SUELO: si no se puede leer si estaba armado, «no pude mirar» — nunca EMPUJAR   (+2 test(s) más caídos)
204	375.6	0.6513	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 CLI: lee el armado de la lista de PR que le pasa el workflow, con suelo
205	377.3	0.6543	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 POSITIVO del job: PR armado con choque solo de registro → se sigue resolviendo solo   (+1 test(s) más caídos)
206	379.2	0.6576	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 ROJO/NEGATIVO: un push de la App (Bot) a un PR existente NO arma el auto-merge   (+1 test(s) más caídos)
207	381.0	0.6606	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 SUELO: si no se sabe quién empujó, no se arma
208	382.6	0.6635	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 ROJO/NEGATIVO: un push de la App a una rama sin PR NO abre PR (p. ej. una rama recreada tras el merge)
209	384.4	0.6666	cae	scrum839e-solo-pr-armados.test.mjs · 🔴 el YAML le pasa a los dos pasos QUIÉN empuja de verdad (`github.event.sender.type`)
210	386.5	0.6702	cae	scrum850-la-poblacion-del-instrumento.test.mjs · el detector ve cada forma que se come el código   (+1 test(s) más caídos)
211	388.4	0.6735	cae	scrum850-la-poblacion-del-instrumento.test.mjs · ninguna invocación de la tanda descarta su código de salida   (+1 test(s) más caídos)
212	389.5	0.6754	cae	scrum850-la-poblacion-del-instrumento.test.mjs · el último tramo y los comentarios NO se marcan
213	395.1	0.6852	cae	scrum850b-las-formas-que-mienten.test.mjs · el censo VE el `&` — era el hueco
214	395.8	0.6864	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · rojo SOLO en checks NO obligatorios → NO despierta
215	396.2	0.6870	cae	scrum853-avisador-solo-obligatorio.test.mjs · sin lista de obligatorios NO despierta, y lo DICE con su código
216	396.5	0.6876	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · el aviso salió 18 s DESPUÉS del merge   (+2 test(s) más caídos)
217	396.9	0.6882	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · claude.yml NO arranca sobre un PR ya mergeado   (+1 test(s) más caídos)
218	397.2	0.6888	cae	scrum853-avisador-solo-obligatorio.test.mjs · CEBO REAL #1255 · PR mergeado cuando Claude termina y rama claude/pr-* nueva → RAMA-MUDA
219	397.5	0.6894	cae	scrum853-avisador-solo-obligatorio.test.mjs · claude.yml pregunta a la puerta ANTES de la acción
220	397.9	0.6899	cae	scrum853-avisador-solo-obligatorio.test.mjs · el aviso de rama muda se comprueba sobre el fichero que de verdad se va a publicar
221	398.2	0.6905	cae	scrum853-avisador-solo-obligatorio.test.mjs · un 404 que llega como CUERPO DEL ERROR no es una cabeza remota   (+1 test(s) más caídos)
222	398.5	0.6911	cae	scrum853-avisador-solo-obligatorio.test.mjs · lo que añade el 853 no se queda con la salida de un `gh api` que ha FALLADO
223	400.4	0.6944	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · PR · si no se puede leer a qué PR pertenece el rojo → PR-ILEGIBLE
224	401.4	0.6960	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · PERMISO · un 404 no llega a la puerta como «permiso»
225	402.3	0.6976	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · CHECK · si no se puede leer qué check cayó, la marca es
226	403.4	0.6995	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · FICHEROS · si no se puede leer qué toca el PR, la puerta fiscal ESCALA
227	404.4	0.7013	cae	scrum853-lecturas-que-fallan-cerrado.test.mjs · PREVIAS · si no se pueden leer los avisos previos, no se avisa
228	430.1	0.7459	cae	scrum853c-el-vigia-no-se-cree-un-error.test.mjs · FECHA · si no se puede leer cuándo se empujó, no se inventa un NaN
229	443.0	0.7682	cae	scrum853c-el-vigia-no-se-cree-un-error.test.mjs · NUM · si no se puede buscar el issue, la pasada PARA
230	455.9	0.7905	cae	scrum853c-el-vigia-no-se-cree-un-error.test.mjs · ANTES · una memoria que no se puede leer NO es una memoria vacía
231	456.8	0.7922	cae	scrum853d-cortacircuitos.test.mjs · el 7.º despertar de la ventana NO despierta   (+3 test(s) más caídos)
232	457.3	0.7930	cae	scrum853d-cortacircuitos.test.mjs · si la cuenta de despertares no se puede leer, NO se despierta   (+2 test(s) más caídos)
233	457.8	0.7939	cae	scrum853d-cortacircuitos.test.mjs · lo que ya salió de la ventana no cuenta
234	458.3	0.7948	cae	scrum853d-cortacircuitos.test.mjs · una ejecución SALTADA no es un despertar
235	476.0	0.8254	cae	scrum858b-la-tanda-sin-veredicto.test.mjs · NEGATIVO: una tanda con un test ROJO nunca sale 0 por el envoltorio   (+1 test(s) más caídos)
236	484.9	0.8408	cae	scrum858b-la-tanda-sin-veredicto.test.mjs · una tanda que sale con 0 SIN línea de recuento sale con 4
237	493.9	0.8564	cae	scrum858b-la-tanda-sin-veredicto.test.mjs · una tanda MUDA más que el tope sale con 3, y para SOLO su árbol
238	494.9	0.8582	cae	scrum858c-el-cierre-con-indice.test.mjs · la vía es la clave de MENOR posición, no la del primer identificador que casa   (+1 test(s) más caídos)
239	495.4	0.8590	cae	scrum858c-el-cierre-con-indice.test.mjs · una cadena dentro de un fichero se cierra en la MISMA vuelta   (+2 test(s) más caídos)
240	497.4	0.8625	cae	scrum859-identidad-y-motivo-cerrado.test.mjs · SCRUM-859 · 🔴 `INVISIBLE_HASTA_859` está cerrado en CINCO   (+1 test(s) más caídos)
241	498.3	0.8642	cae	scrum859-identidad-y-motivo-cerrado.test.mjs · SCRUM-859 · 🔴 insertar una entrada en medio NO mueve ninguna clave   (+7 test(s) más caídos)
242	500.0	0.8670	cae	scrum864c-el-temporal-no-vuelve.test.mjs · 🔴 ① CASO CONOCIDO: el censo distingue las cinco formas que le pongo delante, y no acusa a quien limpia   (+2 test(s) más caídos)
243	500.8	0.8684	cae	scrum864c-el-temporal-no-vuelve.test.mjs · 🔴 ①b EL BORRADO DE OTRO NO ES EL MÍO: un finally que borra otra variable no cubre mi temporal
244	503.2	0.8725	cae	scrum877-la-novena-a-pelo.test.mjs · SCRUM-877 · 🔴 EL BANCO: el criterio da las TRES respuestas, y son distintas
245	504.4	0.8746	cae	scrum877-la-novena-a-pelo.test.mjs · SCRUM-877 · ✅ ABSUELVE el contenido visible — la condición que evita que lo apaguen   (+1 test(s) más caídos)
246	505.1	0.8759	cae	scrum880-el-empate-del-sello.test.mjs · SCRUM-880c · 🔴 A · EL QUE DECIDE: con el empate, la cadena YA NO se bifurca
247	505.5	0.8765	cae	scrum880-el-empate-del-sello.test.mjs · SCRUM-880c · 🔴 B · el sello que se ESCRIBE conserva los milisegundos
248	506.2	0.8777	cae	scrum881-el-detector-sin-fecha.test.mjs · SCRUM-881 · 🔴 ROJO REAL: una F26… posterior al corte es PROPIA, no ajena   (+3 test(s) más caídos)
249	507.6	0.8801	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 ROJO: una copia ALTERADA se niega a actuar y no llama a claude
250	508.2	0.8812	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 ROJO: ejecutada desde un árbol de git, no actúa
251	509.0	0.8826	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 la lista blanca rechaza cualquier nombre que no sea del equipo   (+1 test(s) más caídos)
252	509.9	0.8842	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 reanudar va con el sessionId COMPLETO y SIN flags (con flags arranca una copia)
253	511.1	0.8864	cae	scrum899-sesion-lista-blanca.test.mjs · 🔴 una sesión nueva va en modo auto y NUNCA con un modo que se salte permisos
254	513.6	0.8907	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 ROJO: un orquestador-arranque ALTERADO no lanza nada   (+1 test(s) más caídos)
255	514.7	0.8926	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 ROJO: con sesion.mjs ALTERADO, la tanda no lanza nada
256	515.7	0.8943	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 arranque.cmd copia desde origin/main los scripts y el prompt, y lanza el arranque
257	516.7	0.8961	cae	scrum899b-arranque-de-la-tanda.test.mjs · 🔴 arranque.cmd copia desde origin/main los scripts y el prompt, y lanza el arranque
258	517.4	0.8972	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 el contexto es el del ÚLTIMO turno, no el máximo histórico
259	517.7	0.8977	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 el contexto NO incluye output_tokens: es lo que se manda, no lo que contesta
260	518.0	0.8983	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 SUELO: sin turnos legibles el contexto es null, NUNCA 0
261	518.3	0.8988	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 el jsonl se busca en TODAS las carpetas de proyecto, no solo en la del repo   (+1 test(s) más caídos)
262	518.7	0.8994	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 no se para una sesión que está TRABAJANDO, aunque el traspaso esté fresco
263	519.0	0.8999	cae	scrum899c-relevar-y-contexto.test.mjs · 🔴 no se para una sesión cuyo traspaso no se ha reescrito
264	520.0	0.9017	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 NO_PUDE_MIRAR · vieja (11 min > 10)   (+1 test(s) más caídos)
265	520.5	0.9026	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 un REPINTADO sin llamada a la API no rejuvenece el dato
266	520.9	0.9033	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 NO_PUDE_MIRAR · no existe   (+1 test(s) más caídos)
267	521.4	0.9042	cae	scrum899d-aviso-de-uso.test.mjs · 🔴 NO_PUDE_MIRAR · ventana ya reiniciada
268	522.3	0.9057	cae	scrum900-push-de-claude-con-la-app.test.mjs · 🔴 ROJO/POSITIVO: el push de Claude autentica con la llave de la App, no con el GITHUB_TOKEN del checkout
269	523.3	0.9074	cae	scrum908-la-muda-se-explica.test.mjs · SCRUM-908 · 🔴 EL QUE DECIDE: las tres situaciones NO dan la misma respuesta   (+2 test(s) más caídos)
270	524.9	0.9102	cae	scrum928b-el-veredicto-que-el-color-tapa.test.mjs · 🔴 EL CONTROL QUE DECIDE: una tanda sana cuyo recuento viene con color sale con 0   (+1 test(s) más caídos)
271	525.6	0.9114	cae	scrum928b-el-veredicto-que-el-color-tapa.test.mjs · ✅ POSITIVO: sin color el envoltorio sigue dando exactamente el mismo veredicto que antes   (+2 test(s) más caídos)
272	526.7	0.9133	cae	scrum938-la-lista-como-fixture.test.mjs · el consumidor se resuelve por IMPORT, no por mencionar el nombre
273	527.2	0.9142	cae	scrum938-la-lista-como-fixture.test.mjs · un MOTIVO en prosa no es un elemento de la lista
274	528.0	0.9155	cae	scrum939b-trinquete-de-las-skills.test.mjs · EL QUE DECIDE
275	528.3	0.9161	cae	scrum939b-trinquete-de-las-skills.test.mjs · SUELO en la copia
276	528.7	0.9169	cae	scrum939b-trinquete-de-las-skills.test.mjs · los tres controles   (+2 test(s) más caídos)
277	529.2	0.9176	cae	scrum939b-trinquete-de-las-skills.test.mjs · los tres controles   (+2 test(s) más caídos)
278	529.7	0.9185	cae	scrum939b-trinquete-de-las-skills.test.mjs · los tres controles   (+1 test(s) más caídos)
279	532.2	0.9229	cae	scrum949-el-suelo-como-cociente.test.mjs · el cociente cruza CONJUNTOS: perder uno y ganar otro no cuadra   (+3 test(s) más caídos)
280	533.6	0.9253	cae	scrum949-el-suelo-como-cociente.test.mjs · cero sobre cero es CERO: dos sondas vacías no están de acuerdo, no han mirado
281	534.9	0.9276	cae	scrum949-el-suelo-como-cociente.test.mjs · ✅ NEGATIVO · un borrado legítimo pequeño NO dispara   (+1 test(s) más caídos)
282	536.2	0.9299	cae	scrum949-el-suelo-como-cociente.test.mjs · ✅ NEGATIVO · ningún cambio honesto separa las dos sondas   (+1 test(s) más caídos)
283	537.6	0.9323	cae	scrum949-el-suelo-como-cociente.test.mjs · 🔴 EL QUE DECIDE · crecer mueve el umbral solo, y la ceguera realista sigue saltando
284	539.5	0.9356	cae	scrum949-el-suelo-como-cociente.test.mjs · 🔴 ROJO · un recorrido ciego salta y NOMBRA lo que no ve   (+2 test(s) más caídos)
285	545.4	0.9458	cae	scrum951a-equipo-configurable.test.mjs · 🔴 A2 · sin `traspasos` en config.json, sesion.mjs dice NO-PUDE-MIRAR
286	547.5	0.9494	cae	scrum951a-equipo-configurable.test.mjs · 🔴 A2 · el instalador graba en config.json la carpeta de los traspasos   (+2 test(s) más caídos)
287	550.9	0.9552	cae	scrum951a-equipo-configurable.test.mjs · 🔴 el instalador se NIEGA si la carpeta de los traspasos no existe
288	553.2	0.9594	cae	scrum951a-equipo-configurable.test.mjs · 🔴 el prefijo se DECLARA
289	555.2	0.9628	cae	scrum951a-equipo-configurable.test.mjs · 🔴 una config de equipo inválida no actúa
290	557.8	0.9673	cae	scrum951a-equipo-configurable.test.mjs · 🔴 con prefijo, `estado` solo lista las sesiones de SU equipo
291	561.5	0.9737	cae	scrum951a-equipo-configurable.test.mjs · 🔴 con prefijo, `lanzar` rechaza un nombre del OTRO equipo   (+1 test(s) más caídos)
292	563.6	0.9774	cae	scrum951a-equipo-configurable.test.mjs · 🔴 la tanda lanza al orquestador DEL CONFIG, con su prefijo
293	566.2	0.9819	cae	scrum951a-equipo-configurable.test.mjs · 🔴 rutaDelTraspaso: sesion-N → project_sN, cualquier otro puesto → project_<puesto>
294	568.7	0.9862	cae	scrum951a-equipo-configurable.test.mjs · veredicto global: NO-PUDE-MIRAR gana a FALLA   (+1 test(s) más caídos)
295	570.9	0.9900	cae	scrum951a-equipo-configurable.test.mjs · 🔴 ROJO: con la copia instalada de sesion.mjs TOCADA, la lista da FALLA
296	571.5	0.9911	cae	scrum951d-ensayo-instalacion.test.mjs · 🔴 ROJO: un servidor de .mcp.json sin decidir da FALLA   (+1 test(s) más caídos)
297	572.0	0.9919	cae	scrum951d-ensayo-instalacion.test.mjs · enableAllProjectMcpServers en los settings del usuario lo decide todo
298	572.3	0.9924	cae	scrum951d-ensayo-instalacion.test.mjs · la decisión guardada en la entrada del proyecto de ~/.claude.json cuenta
299	573.4	0.9944	cae	scrum951d-ensayo-instalacion.test.mjs · unos settings con BOM (como los de origin/main) se leen   (+4 test(s) más caídos)
300	573.7	0.9949	cae	scrum951d-ensayo-instalacion.test.mjs · 🔴 ROJO: un VERDE leído del uso.json de OTRA carpeta es AVISO, no OK
301	574.1	0.9955	cae	scrum951d-ensayo-instalacion.test.mjs · el uso.json de ESTA instalación sigue siendo OK (en Windows, sin mirar la caja ni las barras)
302	574.7	0.9966	cae	utils.test.mjs · esc: escapa HTML peligroso y tolera null/number
303	575.4	0.9977	cae	vigia-atascados.test.mjs · SIN-CHECKS es una causa PROPIA, no «esperando»   (+3 test(s) más caídos)
304	575.7	0.9983	cae	vigia-atascados.test.mjs · 🔴 CEBO REAL #1205 · su obligatorio en FAILURE desde el 8-sep → ROJO-OBLIGATORIO, no ESPERANDO   (+4 test(s) más caídos)
305	576.0	0.9989	cae	vigia-atascados.test.mjs · 🔴 CEBO REAL #1212 · con la memoria REAL del issue #1241 vuelve a avisar por edad   (+4 test(s) más caídos)
306	576.4	0.9994	cae	vigia-atascados.test.mjs · 🔴 `gh pr list` devuelve al bot como `app/yaqu-bot`: tiene que contar como el bot
307	576.7	1.0000	cae	vigia-atascados.test.mjs · 🔴 CONTROL NEGATIVO REAL #1259 · recién empujado CON checks corriendo: ESPERANDO, y NO avisa
